# ----------------------------------------
# 网页和屏幕: 网页路径和屏幕类
# 账号：linkdolls
# 媒体资源：linkdolls-new - GA4
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260301
# 结束日期：20260331
网页路径和屏幕类,浏览次数,活跃用户,每位活跃用户的浏览量,每位活跃用户的平均互动时长,事件数,关键事件数,总收入
/products/f1643a-162cm-5ft3-f-cup-fat-best-realistic-big-booty-tpe-robotic-powered-sex-dolls-in-stock-usa-2025-sy-doll,151,103,1.4660194174757282,64.6116504854369,730,69,0
/collections/erovenus-sex-doll,150,72,2.0833333333333335,47.40277777777778,560,65,0
/collections/mini-hentai-sex-doll,150,46,3.260869565217391,37.23913043478261,445,47,0
/products/h442-ros-free-hair-impants-real-oral-movable-jaw-silicone-sex-doll-head-sy-doll,150,135,1.1111111111111112,43.1037037037037,736,20,0
/collections/devil-fairy-alien-sex-dolls,149,44,3.3863636363636362,65.45454545454545,403,65,0
/products/t732-72-7lbs-92cm-silicone-luxury-super-realistic-human-size-torso-with-arm-sex-doll,149,122,1.221311475409836,44.450819672131146,731,37,0
/products/f5710-158cm-5ft2-36kg-g-cup-silicone-sexual-male-best-shemale-sex-doll-castle-doll,148,145,1.0206896551724138,46.62068965517241,708,38,0
/products/t289-79-37-lbs-lydia-ros-life-size-silicone-sex-doll-torso-with-head-in-stock-usa-europe-max-series,147,134,1.0970149253731343,32.082089552238806,684,21,0
/en-ca/collections/flat-chest-sex-doll,146,47,3.106382978723404,66.55319148936171,414,59,0
/products/t412-55lb-bbw-fat-woman-torso,146,137,1.0656934306569343,34.43795620437956,694,21,0
/blogs/featured-blog/the-4-technical-features-about-sex-doll-skeleton,145,129,1.124031007751938,56.48837209302326,656,24,0
/collections/gay-sex-doll,145,70,2.0714285714285716,26.442857142857143,392,42,0
/products/f2387-163cm5-3ft-53kg-g-cup-s6-great-doggy-style-huge-butt-silicone-head-realistic-sex-doll-2025丨sy-doll,145,118,1.228813559322034,56.432203389830505,714,66,0
/collections/md-doll,143,46,3.108695652173913,54.84782608695652,426,49,0
/pages/copy-of-sex-doll-videos-2,143,116,1.2327586206896552,41.19827586206897,599,87,0
